number,name,tags,category,url
111,Il Padre diede il Suo Figliuol,"Gesù Cristo, Padre Celeste, amore, grazia, piano di salvezza, sacramento",Sacramento,https://assets.churchofjesuschrist.org/14/aa/14aad8dae2b37ec814808ad098ddcdf4bede2ee5/god_loved_us_so_he_sent_his_son_accompaniment_eng.mp3
112,Ricorda che Gesù morì,"Espiazione di Gesù Cristo, Gesù Cristo, lode, morte fisica, rendere il culto, risurrezione, sacramento",Sacramento,https://assets.churchofjesuschrist.org/bb/4c/bb4c8a0390929cc96ef5f96c2e501b93dffff3c9/behold_the_great_redeemer_die_accompaniment_eng.mp3
113,Per ricordar Chi un dì morì,"Gesù Cristo, Spirito Santo, impegno, sacramento",Sacramento,https://assets.churchofjesuschrist.org/3f/a7/3fa7402e9b2701040674d4327bb5daa9221831dc/nos_reunimos_padre_hoymusica_solo.mp3
114,Attonito resto,"Espiazione di Gesù Cristo, Gesù Cristo, Pasqua, amore, gioia, gratitudine, grazia, lode, misericordia, perdono, piano di salvezza, rendere il culto, sacramento, umiltà",Sacramento,https://assets.churchofjesuschrist.org/20/23/2023237d0d0c56fe42f4025559ed4384a3334b46/i_stand_all_amazed_accompaniment_eng.mp3
115,Un verde colle v’è lontano,"Espiazione di Gesù Cristo, Gesù Cristo, amore, discepolato, fede, grazia, piano di salvezza, sacramento, sacrificio",Sacramento,https://assets.churchofjesuschrist.org/f9/50/f9507b2c683dd33586311ead01d402717a00a4dd/there_is_a_green_hill_far_away_accompaniment_eng.mp3
116,L’acqua e il pane noi prendiam,"Espiazione di Gesù Cristo, Gesù Cristo, dignità, risurrezione, sacramento, speranza",Sacramento,https://media2.ldscdn.org/assets/music/hymns/2001-01-1740-while-of-these-emblems-we-partake-instrumental-192k-eng.mp3
117,Gesù nacque in umiltà,"Espiazione di Gesù Cristo, Gesù Cristo, Natale, Seconda Venuta, lode, rendere il culto, sacramento",Sacramento,https://assets.churchofjesuschrist.org/6b/29/6b29bd2f96c2d9a7ea27bd86a94f7c6c12db07dd/jesus_once_of_humble_birth_accompaniment_eng.mp3
118,È risorto!,"Gesù Cristo, Pasqua, gioia, lode, musica, piano di salvezza, rendere il culto, risurrezione, speranza",Pasqua,https://media2.ldscdn.org/assets/music/hymns/2001-01-1990-he-is-risen-instrumental-192k-eng.mp3
119,È risorto il Signor,"Espiazione di Gesù Cristo, Gesù Cristo, Pasqua, gioia, lode, rendere il culto, risurrezione, speranza",Pasqua,https://media2.ldscdn.org/assets/music/hymns/2001-01-2000-christ-the-lord-is-risen-today-instrumental-192k-eng.mp3
120,Gioisca il mondo,"Gesù Cristo, Natale, Seconda Venuta, gioia, lode",Natale,https://assets.churchofjesuschrist.org/4f/6f/4f6f37e215315b0c136a257d60a08830cea55294/joy_to_the_world_accompaniment_eng.mp3
121,"Venite, fedeli","Gesù Cristo, Natale, gioia, lode, musica",Natale,https://media2.ldscdn.org/assets/music/hymns/2001-01-2020-oh-come-all-ye-faithful-instrumental-192k-eng.mp3
122,Gli angeli lassù nel ciel,"Gesù Cristo, Natale, lode, rendere il culto",Natale,https://media2.ldscdn.org/assets/music/hymns/2001-01-2030-angels-we-have-heard-on-high-instrumental-192k-eng.mp3
123,Nato è Gesù,"Gesù Cristo, Natale, grazia, lode, lullaby, pace, rendere il culto, shepherd",Natale,https://assets.churchofjesuschrist.org/3d/60/3d602195e9daf3827419c4db45adbc54e9d7ed1b/silent_night_accompaniment_eng.mp3
124,Col capo sul fieno,"Gesù Cristo, Natale, amore, conforto, gioia, lode, preghiera, rendere il culto, vita eterna",Natale,https://assets.churchofjesuschrist.org/58/78/5878cb6a2490344c48b74f067d0d34396575b9d0/away_in_a_manger_accompaniment_eng.mp3
125,A mezzanotte in ciel s’udì,Natale,Natale,https://assets.churchofjesuschrist.org/a1/5a/a15ac4cfc0e19589faebffbc0bf0bf94e8db35a4/it_came_upon_the_midnight_clear_accompaniment_eng.mp3
126,"Betlemme, piccola città","Gesù Cristo, Natale, lode",Natale,https://assets.churchofjesuschrist.org/1e/5b/1e5bed979b8b2b725703f0669578cd6929f7f8a4/o_little_town_of_bethlehem_accompaniment_eng.mp3
127,Un Re nacque a Betleem,Natale,Natale,https://assets.churchofjesuschrist.org/5b/ac/5bac63adf926f7e768686730fe47af0df8770532/hark_the_herald_angels_sing_accompaniment_eng.mp3
128,Campane il giorno di Natal,"Gesù Cristo, Natale, avversità, gioia, lode, pace, speranza",Natale,https://assets.churchofjesuschrist.org/65/79/6579ebb0fe0de636970cb7ecadb442956a98c933/campanas_de_navidadmusica_solo.mp3
129,"Là, nell’Oriente lontano, lontan","Gesù Cristo, Natale, lode, shepherd",Natale,https://assets.churchofjesuschrist.org/34/78/3478c03549bccd4dcda56ea5e86c24042b774c2a/en_la_judea_en_tierra_de_diosmusica_solo.mp3
130,Lieti siamo in cuor,,Natale,
131,"Natal, Natal","Espiazione di Gesù Cristo, Gesù Cristo, Natale, lode, rendere il culto, shepherd",Natale,https://assets.churchofjesuschrist.org/da/da/dadac4012767e0e449d7fb8e236b09c698b3270f/the_first_noel_accompaniment_eng.mp3
132,Un dolce suon si libra in ciel,Pasqua,Occasioni speciali,https://assets.churchofjesuschrist.org/55/a5/55a5e4d2a5ae8deca3119c812b4bbde8ff304020/ring_out_wild_bells_accompaniment_eng.mp3
133,Poiché io molto ho avuto,"gratitudine, servizio",Occasioni speciali,
134,"O Signor, ch’io possa amarTi","Gesù Cristo, amore, discepolato, esempio, giudicare, impegno, ministero, servizio",Occasioni speciali,https://assets.churchofjesuschrist.org/75/08/7508785fd96fa6e5a8813012f53155daede62699/lord_i_would_follow_thee_accompaniment_eng.mp3
135,Caro al cuor del Pastore,"Gesù Cristo, discepolato, ministero, shepherd",Occasioni speciali,https://assets.churchofjesuschrist.org/e4/59/e4596447d0530ea692422f3e6bfc24033ab3bd8a/dear_to_the_heart_of_the_shepherd_accompaniment_eng.mp3
136,Ho aiutato il mio prossimo in questo dì?,"amore, arbitrio, gioia, lavoro, ministero, servizio, sharing",Occasioni speciali,https://assets.churchofjesuschrist.org/cb/f0/cbf05330e891bfd365e1b2915114a3a861e81f31/have_i_done_any_good_accompaniment_eng.mp3
137,Ogni giorno seminiamo,"Gesù Cristo, arbitrio, fede, obbedienza, piano di salvezza, responsabilità, vita eterna",Occasioni speciali,https://assets.churchofjesuschrist.org/a6/0e/a60efd62072781c966f5e658ba80a97648eac676/we_are_sowing_accompaniment_eng.mp3
138,Ho ancor tanto da far,"comandamenti, lavoro, obbedienza, pentimento",Occasioni speciali,https://assets.churchofjesuschrist.org/2b/2c/2b2c76844281c87f958390f373855fe669d39e71/i_have_work_enough_to_do_accompaniment_eng.mp3
139,Tesoro fa’ dell’ore,"discepolato, felicità, preparazione, responsabilità, speranza",Occasioni speciali,https://assets.churchofjesuschrist.org/7f/52/7f52d095c0a9d4dab4d17084d4d467c9ad043bc7/improve_the_shining_moments_accompaniment_eng.mp3
140,Nell’anima mia c’è il sol,"Gesù Cristo, amore, felicità, gioia, grazia, lode, musica, nature, speranza",Occasioni speciali,https://assets.churchofjesuschrist.org/4e/a0/4ea0b42c2bef4d004e604a13f2457738c604b710/tengo_gozo_en_mi_alma_hoymusica_solo.mp3
141,È più lieto il tuo cammin,"amore, discepolato, felicità, gioia, servizio",Occasioni speciali,https://assets.churchofjesuschrist.org/28/5a/285a946d169d8a310e4c7c3a4883d68724b25186/you_can_make_the_pathway_bright_accompaniment_eng.mp3
142,In ciel splende il sole,"discepolato, preparazione, responsabilità, speranza",Occasioni speciali,https://assets.churchofjesuschrist.org/a7/97/a7974ecfaf67a85237dec5844a74a18041c08ee3/today_while_the_sun_shines_accompaniment_eng.mp3
143,A chi è triste al mondo,"amore, carità, conforto, gioia, servizio",Occasioni speciali,https://assets.churchofjesuschrist.org/7d/6a/7d6a60a825a671773406ab451bb8feeb1d801a3f/scatter_sunshine_accompaniment_eng.mp3
144,Con accenti gentili parliamo,"amore, felicità, speech, unità",Occasioni speciali,https://assets.churchofjesuschrist.org/3e/f7/3ef74d3b3022b0decdf91ff6551c929354dc1d85/let_us_oft_speak_kind_words_accompaniment_eng.mp3
145,Se ti senti di accusare,"discepolato, giudicare, speech",Occasioni speciali,https://assets.churchofjesuschrist.org/7f/4b/7f4bf5c44994f90ccd1357d9270023e04fa48707/should_you_feel_inclined_to_censure_accompaniment_eng.mp3
146,"O Geova, Re di terra e ciel","Millennio, musica, opera missionaria",Occasioni speciali,https://assets.churchofjesuschrist.org/04/cc/04cc5fbae846219db52dcce6c8d750d133ef5fad/jehovah_lord_of_heaven_and_earth_accompaniment_eng.mp3
147,Fai ciò ch’è ben,"arbitrio, fede, perseverare fino alla fine",Occasioni speciali,https://assets.churchofjesuschrist.org/4a/57/4a57e959da8e3bdc234fb48bf61c676398b6640d/haz_tu_lo_justomusica_solo.mp3
148,Scegli il ben,"arbitrio, comandamenti, fede, gioia, guida, pace, saggezza",Occasioni speciali,https://assets.churchofjesuschrist.org/4b/e9/4be9078a73bbca0515ddf76885bb225908d7ebd9/haz_el_bienmusica_solo.mp3
149,Vicini all’acque siamo già,,Occasioni speciali,
150,Quando la tempesta s’avvicinerà,"avversità, fede, gratitudine, grazia, perseverare fino alla fine, prove",Occasioni speciali,https://assets.churchofjesuschrist.org/6c/e1/6ce1bd2ba1cfa424bee96c2cb1be18f1b0f8ee3a/cuenta_tus_bendicionesmusica_solo.mp3
151,Avanziamo insiem nel lavoro del Signor,"Gesù Cristo, coraggio, fede, impegno, obbedienza, perseverare fino alla fine, prove, verità, vita eterna",Occasioni speciali,https://assets.churchofjesuschrist.org/3e/90/3e90327164e05c1b0b4aa243025ff1b862fdbd96/let_us_all_press_on_accompaniment_eng.mp3
152,"Su, soldati, in guardia!","coraggio, impegno, lode, speranza, unità",Occasioni speciali,https://assets.churchofjesuschrist.org/00/e2/00e2ad0e3cdbae336007d1b7f8e361636fb231e9/onward_christian_soldiers_accompaniment_eng.mp3
153,Sia lode a Dio,"Gesù Cristo, Padre Celeste, Spirito Santo, amore, gratitudine, grazia, lode, piano di salvezza",Occasioni speciali,https://assets.churchofjesuschrist.org/21/b5/21b54bf726b68607da5c39cac93f351c8fa2ca94/a_dios_el_padre_y_a_jesusmusica_solo.mp3
154,Stiam marciando verso la gloria,"exaltation, impegno, perseverare fino alla fine",Occasioni speciali,https://assets.churchofjesuschrist.org/ce/3a/ce3a6b31714241c63a9f77dd1cae1ddda0dbbf0d/we_are_marching_on_to_glory_accompaniment_eng.mp3
155,La Tua casa amiam,"dedicazione degli edifici, gratitudine, riverenza, storia familiare, templi",Occasioni speciali,https://assets.churchofjesuschrist.org/bc/2d/bc2dc4e47e88648ff5e5a7c03871e9fd683b57c2/we_love_thy_house_o_god_accompaniment_eng.mp3
156,Chiamati a servirLo,"Gesù Cristo, fede, impegno, lode, opera missionaria, perseverare fino alla fine, servizio",Occasioni speciali,https://assets.churchofjesuschrist.org/87/1b/871bcbee9b93e7594e8d99394caeb089eaadc64d/called_to_serve_accompaniment_eng.mp3
157,Arruolati dal Signor,"coraggio, dignità, fede, felicità, impegno, perseverare fino alla fine, responsabilità, speranza",Occasioni speciali,https://assets.churchofjesuschrist.org/0e/d6/0ed6ded8f5cbdf9cc6ec29f593f536b6f9c5bbd5/we_are_all_enlisted_accompaniment_eng.mp3
158,Siam la reale armata,"Gesù Cristo, fede, lode, pace, perseverare fino alla fine",Occasioni speciali,https://assets.churchofjesuschrist.org/bb/3f/bb3f8dbfcabb13b8e9e811b3aa6f33d79e624924/behold_a_royal_army_accompaniment_eng.mp3
159,Bisogno al mondo v’è di te,"felicità, impegno, leader, perseverare fino alla fine, responsabilità, servizio, speranza",Occasioni speciali,https://assets.churchofjesuschrist.org/ac/c2/acc280ca0c0c2e8953cc901f22b0d45774164264/put_your_shoulder_to_the_wheel_accompaniment_eng.mp3
160,"Quest’inno ascolta, o Re","Spirito Santo, chiusura, gratitudine, umiltà",Occasioni speciali,https://assets.churchofjesuschrist.org/57/22/572268c5b60747db84f9211b03952160e8bcdf2a/hear_thou_our_hymn_o_lord_accompaniment_eng.mp3
161,"Forza, giovani di Sion","Parola di Saggezza, coraggio, dignità, fede, giovani, impegno, moralità, verità",Occasioni speciali,https://assets.churchofjesuschrist.org/15/e5/15e500a884fad8a94fb9592e935b190aaef3bafc/true_to_the_faith_accompaniment_eng.mp3
162,Come montagne saremo,"esempio, fede, giovani, impegno, pionieri",Occasioni speciali,https://assets.churchofjesuschrist.org/73/e0/73e01ebcee4bac636291d364e7ed0d679ef86fab/carry_on_accompaniment_eng.mp3
163,Sei la rocca di salvezza,"Gesù Cristo, giovani, impegno, opera missionaria, unità",Occasioni speciali,https://assets.churchofjesuschrist.org/ae/94/ae940e788a4fb94e8f0fcd39de712c6a5ef86ef0/o_thou_rock_of_our_salvation_accompaniment_eng.mp3
164,O speranza d’Israele,"Israele, Sion, giovani, impegno, speranza, verità",Occasioni speciali,https://assets.churchofjesuschrist.org/53/0c/530c7bb3ec6bd7bb32f865823b74ed919175051a/hope_of_israel_accompaniment_eng.mp3
165,Chi sta con il Signor?,"Gesù Cristo, discepolato, impegno, integrità",Occasioni speciali,https://assets.churchofjesuschrist.org/41/ba/41bac4c2e43abfe6bb509dd50927d91ff1b854f5/whos_on_the_lords_side_accompaniment_eng.mp3
166,"Genti, guardate!","Restaurazione, gioia, insegnamento, lode, opera missionaria, verità",Occasioni speciali,https://media2.ldscdn.org/assets/music/hymns/2001-01-2640-hark-all-ye-nations-instrumental-192k-eng.mp3
167,La Tua parola,"Scritture, Vangelo, gioia, gratitudine, impegno, lode, opera missionaria, preghiera, sharing, verità",Occasioni speciali,https://assets.churchofjesuschrist.org/1e/2f/1e2f5a6c5f465d99036388040a11a5392137aab8/thy_holy_word_accompaniment_eng.mp3
168,Il giorno è vicin,"Gesù Cristo, esempio, leader, opera missionaria, pentimento, perseverare fino alla fine, preparazione, prove, responsabilità, speranza",Occasioni speciali,https://assets.churchofjesuschrist.org/4f/65/4f6552a9b2d4208dbf0c045421499cfd533cee13/the_time_is_far_spent_accompaniment_eng.mp3
169,Andiam con fede,"Restaurazione, Vangelo, amore, coraggio, famiglia, fede, gioia, lode, opera missionaria, servizio, speranza, verità, vita eterna",Occasioni speciali,https://assets.churchofjesuschrist.org/55/b6/55b68c0164594da5fda99a8c22c722ac2f5b516a/go_forth_with_faith_accompaniment_eng.mp3
170,Su vette ardite mai forse andrò,"Gesù Cristo, Spirito Santo, amore, discepolato, fede, impegno, ministero, obbedienza, opera missionaria, servizio, umiltà",Occasioni speciali,https://assets.churchofjesuschrist.org/37/09/3709250e13cf940e4c1cd607f660701b09e73405/ill_go_where_you_want_me_to_go_accompaniment_eng.mp3
171,Qual gemma preziosa,"Scritture, battesimo, famiglia, fede, opera missionaria, sacerdozio, templi",Occasioni speciali,https://assets.churchofjesuschrist.org/17/b5/17b560d240726ec33abe1de8a944e1acb5a63434/oh_say_what_is_truth_accompaniment_eng.mp3
172,Qual gloria traspar,"Restaurazione, lode, opera missionaria, rendere il culto",Occasioni speciali,https://assets.churchofjesuschrist.org/8b/a1/8ba14869e991092b4caf47368f4ef66f6e1c781c/how_wondrous_and_great_accompaniment_eng.mp3
173,Se il Vangelo è nel tuo cuore,"amore, giudicare, parabole, verità",Occasioni speciali,https://assets.churchofjesuschrist.org/f4/22/f422ca46689e14054ea2eabbf60e4dd2e5160edc/nuestra_mente_se_reflejamusica_solo.mp3
174,A Nefi un tempo Dio mostrò,"Scritture, guida, perseverare fino alla fine, verità",Occasioni speciali,https://assets.churchofjesuschrist.org/d2/19/d2191e66e30b4b742265726afa53633a35da0011/the_iron_rod_accompaniment_eng.mp3
175,Quando studio le Scritture,"Scritture, conoscenza, guida, misericordia, saggezza",Occasioni speciali,https://assets.churchofjesuschrist.org/92/a1/92a1c306892190b9a8387c1513398a39f7dd6195/as_i_search_the_holy_scriptures_accompaniment_eng.mp3
176,"Benvenuto, bel mattino","Scritture, Scuola Domenicale, giorno del Signore, musica, rivelazione",Occasioni speciali,https://assets.churchofjesuschrist.org/0f/d1/0fd1bd3faac65ac40c8f8f13b48f3b2d5ad65577/welcome_welcome_sabbath_morning_accompaniment_eng.mp3
177,Dammi la Tua ispirazione,"amore, insegnamento, preghiera, servizio, shepherd",Occasioni speciali,https://media2.ldscdn.org/assets/music/hymns/2001-01-2810-help-me-teach-with-inspiration-instrumental-192k-eng.mp3
178,Se a Kolob tu potessi,"Creazione, Gesù Cristo, Padre Celeste, rendere il culto, verità",Occasioni speciali,https://assets.churchofjesuschrist.org/9a/ce/9acea8a24b48fc760d6b8f36a9dc7a48fd255963/if_you_could_hie_to_kolob_accompaniment_eng.mp3
179,"Ora, o santi, entriam nel tempio","alleanze, apprendimento, lode, obbedienza, ordinanze, piano di salvezza, servizio, templi",Occasioni speciali,https://assets.churchofjesuschrist.org/99/53/99533db49a2adf135813101f79b749bac1382360/rise_ye_saints_and_temples_enter_accompaniment_eng.mp3
180,Che bello il tempio del Signor,"exaltation, storia familiare, templi",Occasioni speciali,https://assets.churchofjesuschrist.org/c2/63/c26385fd26aa8806151a05d5ab21e17272b37ad8/how_beautiful_thy_temples_lord_accompaniment_eng.mp3
181,Sacri templi sopra il monte di Sion,"exaltation, storia familiare, templi",Occasioni speciali,https://assets.churchofjesuschrist.org/df/79/df79665e381f040936083d45c034448af7cfe745/holy_temples_on_mount_zion_accompaniment_eng.mp3
182,Padre mio,"Joseph Smith, Padre Celeste, Scritture, apprendimento, battesimo, conforto, conoscenza, esistenza preterrena, famiglia, fede, morte fisica, opera missionaria, piano di salvezza, preghiera, sacerdozio, templi, verità, vita eterna",Occasioni speciali,https://assets.churchofjesuschrist.org/41/a9/41a90f2f4e95030fe576e817cced17798fd15bd3/o_my_father_accompaniment_eng.mp3
183,Il ben che tocca il nostro cuor,"Società di Soccorso, amore, esempio, funerale, spiritualità, unità",Occasioni speciali,https://assets.churchofjesuschrist.org/d2/b2/d2b2ed1ae5b35f2c1263eaa4afbc97e22bd77995/each_life_that_touches_ours_for_good_accompaniment_eng.mp3
184,Padre mio,"Joseph Smith, Padre Celeste, Scritture, apprendimento, battesimo, conforto, conoscenza, esistenza preterrena, famiglia, fede, morte fisica, opera missionaria, piano di salvezza, preghiera, sacerdozio, templi, verità, vita eterna",Occasioni speciali,
185,Se in casa vuoi il cielo,"Scritture, amore, casa, famiglia, insegnamento, preghiera",Occasioni speciali,https://assets.churchofjesuschrist.org/b0/3e/b03e4c77ff89346b2a158eeec9a716def4292faa/home_can_be_a_heaven_on_earth_accompaniment_eng.mp3
186,Tutto è bello attorno a noi,"amore, casa, famiglia, gioia, nature, pace",Occasioni speciali,https://assets.churchofjesuschrist.org/2a/50/2a50778a65bea2b94583f92fc92cef2cd8f4b83f/love_at_home_accompaniment_eng.mp3
187,"Tu, Signor, ci sei vicino","Spirito Santo, dignità, famiglia, fede, guida, moralità, obbedienza",Bambini,https://assets.churchofjesuschrist.org/1e/40/1e40e08f5e62ca57271bf5c59444471897797c18/dearest_children_god_is_near_you_accompaniment_eng.mp3
188,I bambini sempre avranno,"casa, conforto, famiglia, funerale, grazia, raduno d’Israele",Bambini,
189,Le famiglie sono eterne,"famiglia, matrimonio, piano di salvezza, templi, vita eterna",Bambini,https://assets.churchofjesuschrist.org/fc/e3/fce3756391f1b68c0fe447329ca38f34175fdfb0/families_can_be_together_forever_accompaniment_eng.mp3
190,Sono un figlio di Dio,"Padre Celeste, apprendimento, casa, exaltation, famiglia, fede, figlio di Dio, guida, insegnamento, obbedienza, perseverare fino alla fine, piano di salvezza, vita eterna",Bambini,https://assets.churchofjesuschrist.org/3d/0f/3d0fb6dea895f454876a82341d5bbec8b0a109f2/i_am_a_child_of_god_accompaniment_eng.mp3
191,Mio Padre vive in ciel,"Padre Celeste, Spirito Santo, amore, fede, testimonianza, verità",Bambini,https://assets.churchofjesuschrist.org/10/c7/10c7996e03d8a479943c70cccd1f4b48fa790f82/i_know_my_father_lives_accompaniment_eng.mp3
192,Vivi il Vangelo,"Padre Celeste, comandamenti, pace, profeti",Bambini,https://assets.churchofjesuschrist.org/a6/f7/a6f719404ba0b9a7d6dd9eb59e6e7997a5d4f408/keep_the_commandments_accompaniment_eng.mp3
193,"Mamma e papà, insegnatemi insiem","Gesù Cristo, Padre Celeste, Vangelo, amore, apprendimento, comandamenti, conoscenza, exaltation, gioia, gratitudine, guida, insegnamento, lode, obbedienza, piano di salvezza, preghiera, verità",Bambini,https://assets.churchofjesuschrist.org/85/42/85427d30d9231b4224ec36810f2e2339aad04897/teach_me_to_walk_in_the_light_accompaniment_eng.mp3
194,La luce del Signor,"Spirito Santo, fede, nature, obbedienza, opera missionaria, speranza",Bambini,https://assets.churchofjesuschrist.org/e0/be/e0be465bace78090313947841c5434193cba87b5/la_luz_de_diosmusica_solo.mp3
195,Nella nostra bella Sion,"Parola di Saggezza, discepolato, famiglia, obbedienza",Bambini,https://assets.churchofjesuschrist.org/35/63/356322dc5d07054b29236c7bb9fd5476d5e74971/in_our_lovely_deseret_accompaniment_eng.mp3
196,Quand’Egli tornerà,"Gesù Cristo, Seconda Venuta, amore, discepolato, fede, opera missionaria",Bambini,
197,Come vi ho amati,"Gesù Cristo, Padre Celeste, amore, carità, comandamenti, discepolato, gentilezza, servizio",Bambini,https://assets.churchofjesuschrist.org/e8/b0/e8b0fed9b5e47b80570222190faaff81842b8e3d/love_one_another_accompaniment_eng.mp3
198,"Noi, come sorelle in Sion","Sion, compassione, conforto, lavoro, ministero, servizio, unità",Donne,https://assets.churchofjesuschrist.org/93/2a/932aff2192259b2760deee2ac6cc3dceac8f335e/as_sisters_in_zion_women_accompaniment_eng.mp3
199,"Fratelli, siam chiamati","dignità, leader, opera missionaria, responsabilità, sacerdozio",Uomini,https://assets.churchofjesuschrist.org/d1/11/d1119caba4692e073da7cbfe8df14cca8b4c988d/ye_who_are_called_to_labor_men_music_only.mp3
200,O figli del Signor,"Gesù Cristo, Millennio, Sion, battesimo, opera missionaria, raduno d’Israele, sacerdozio, shepherd",Uomini,https://assets.churchofjesuschrist.org/2e/17/2e174586b8f32336d5f23ebb347afc3e1157e6b7/come_all_ye_sons_of_god_men_music_only.mp3
201,Anziani d’Israele,"Israele, Sion, ministero, opera missionaria, raduno d’Israele",Uomini,https://assets.churchofjesuschrist.org/aa/69/aa69490a162958a6bc21f037074deeacedaa2b51/ye_elders_of_israel_men_music_only.mp3
202,"Va, pensiero sull’ali dorate",,Patria,
